order_id,order_date,sales_qty,sales_amount,currency,user_id,r_id
1,04-10-2017,4,9032,INR,82829,224779
2,04-10-2017,4,1111,INR,76127,294049
3,04-10-2017,37,16245,INR,36402,440179
4,04-10-2017,16,4000,INR,56182,549477
5,04-10-2017,2,1389,INR,30527,12805
6,04-10-2017,13,1093,INR,13189,538779
7,04-10-2017,1,440,INR,60073,354248
8,04-10-2017,2,241,INR,87864,354909
9,04-10-2017,4,954,INR,12948,107530
10,04-10-2017,1,46,INR,85316,497134
11,04-10-2017,2,583,INR,77182,542236
12,04-10-2017,6,1907,INR,78428,556923
13,04-10-2017,3,519,INR,73867,21473
14,04-10-2017,12,3269,INR,87919,35716
15,04-10-2017,3,2699,INR,27962,466236
16,04-10-2017,1,1435,INR,72627,213782
17,04-10-2017,1,56,INR,59856,239136
18,04-10-2017,5,560,INR,97846,571987
19,04-10-2017,1,694,INR,72105,416204
20,04-10-2017,3,2972,INR,82474,557685
21,04-10-2017,1,435,INR,9612,481436
22,04-10-2017,6,7023,INR,12853,399736
23,04-10-2017,1,1796,INR,20897,436844
24,04-10-2017,2,2287,INR,65308,496377
25,04-10-2017,6,5644,INR,97364,301573
26,04-10-2017,1,801,INR,73837,326050
27,04-10-2017,1,1412,INR,38608,319509
28,05-10-2017,4,9190,INR,73590,575772
29,05-10-2017,5,13199,INR,69947,517181
30,05-10-2017,1,1644,INR,41803,476909
31,05-10-2017,13,42954,INR,75353,365925
32,05-10-2017,1,1514,INR,98205,549106
33,05-10-2017,86,47528,INR,95450,550689
34,05-10-2017,34,16565,INR,97224,535273
35,05-10-2017,11,5019,INR,83706,523292
36,05-10-2017,10,2750,INR,31399,471209
37,05-10-2017,9,2333,INR,70627,345404
38,05-10-2017,7,468,INR,34291,362858
39,05-10-2017,45,2204,INR,1835,474403
40,05-10-2017,33,1880,INR,67552,235747
41,05-10-2017,61,5171,INR,21930,442002
42,05-10-2017,15,1755,INR,14064,503573
43,05-10-2017,2,241,INR,51727,54843
44,05-10-2017,1,167,INR,35434,346876
45,05-10-2017,13,3403,INR,77011,131919
46,05-10-2017,22,5866,INR,13273,95025
47,05-10-2017,1,42,INR,13053,498137
48,05-10-2017,1,46,INR,10276,484873
49,05-10-2017,3,1009,INR,51904,503168
50,05-10-2017,1,93,INR,3777,390518
51,05-10-2017,16,4060,INR,46978,306488
52,05-10-2017,32,4259,INR,26392,222109
53,05-10-2017,1,79,INR,96078,191516
54,05-10-2017,1,42,INR,62905,29423
55,05-10-2017,1,282,INR,81332,218703
56,05-10-2017,60,13903,INR,39631,458633
57,05-10-2017,6,6556,INR,41840,469623
58,05-10-2017,5,5190,INR,49110,127900
59,05-10-2017,48,21000,INR,63393,511269
60,05-10-2017,1,46,INR,44436,201612
61,05-10-2017,1,74,INR,92025,116524
62,05-10-2017,1,1792,INR,46418,447695
63,05-10-2017,2,2389,INR,68268,455071
64,05-10-2017,3,6241,INR,94188,504215
65,05-10-2017,84,23222,INR,247,463022
66,05-10-2017,1,93,INR,58299,498191
67,05-10-2017,20,4356,INR,10653,336591
68,05-10-2017,1,185,INR,82581,512952
69,05-10-2017,1,46,INR,98135,518735
70,05-10-2017,1,32,INR,12290,308322
71,05-10-2017,44,3338,INR,31602,45503
72,05-10-2017,1,56,INR,50168,185073
73,05-10-2017,11,1824,INR,72367,412266
74,05-10-2017,1,51,INR,87073,153893
75,05-10-2017,1,194,INR,41333,76560
76,05-10-2017,30,2810,INR,16369,466742
77,05-10-2017,1,69,INR,41554,414330
78,05-10-2017,1,65,INR,47134,379681
79,05-10-2017,1,130,INR,45248,137007
80,05-10-2017,1,269,INR,75306,455050
81,05-10-2017,1,315,INR,77656,258591
82,05-10-2017,1,93,INR,48260,535541
83,05-10-2017,1,93,INR,23003,104861
84,05-10-2017,1,74,INR,30883,568051
85,05-10-2017,1,102,INR,92024,319744
86,05-10-2017,1,83,INR,49136,10855
87,05-10-2017,1,134,INR,25207,422698
88,05-10-2017,1,120,INR,47243,312097
89,05-10-2017,1,65,INR,87810,368686
90,05-10-2017,1,32,INR,40988,424099
91,05-10-2017,1,83,INR,33023,326028
92,05-10-2017,3,407,INR,74220,111746
93,05-10-2017,1,102,INR,67386,495322
94,05-10-2017,1,65,INR,774,549330
95,05-10-2017,7,1255,INR,22907,530039
96,05-10-2017,1,79,INR,30166,50343
97,05-10-2017,2,866,INR,83235,552071
98,05-10-2017,1,93,INR,30165,55938
99,05-10-2017,1,51,INR,72019,455534
100,05-10-2017,1,93,INR,85841,501793
101,05-10-2017,1,144,INR,34643,474860
102,05-10-2017,1,144,INR,94187,453714
103,05-10-2017,1,69,INR,49615,465822
104,05-10-2017,1,125,INR,42169,562737
105,05-10-2017,4,4250,INR,2126,25923
106,05-10-2017,1,1324,INR,43973,75141
107,05-10-2017,13,17287,INR,77216,465187
108,05-10-2017,1,2120,INR,90804,110695
109,05-10-2017,1,495,INR,92185,564602
110,05-10-2017,5,6014,INR,63192,561338
